k;seed;metric;min_size;max_size;outliers;threshold;elite_size;elapsed_time
10;-1;cosine;3;6;0;0.750000;10;159.673632
All solutions found
Solution;Evaluation;Feasible;Num, of Attr,;Restrictions Violated
deaths,assists,denies,gold_per_min,xp_per_min;-1,186105;0;5;3
deaths,assists,denies,gold_per_min,last_hits;-1,197103;0;5;3
deaths,assists,gold_per_min,xp_per_min,last_hits;-1,200621;0;5;3
kills,deaths,assists,xp_per_min,hero_healing,last_hits;-1,204496;0;6;3
kills,deaths,assists,gold_per_min,xp_per_min,hero_healing;-1,204880;0;6;3
deaths,assists,gold_per_min,xp_per_min,hero_damage,hero_healing;-1,208412;0;6;3
kills,assists,gold_per_min,hero_healing,last_hits;-1,216031;0;5;3
deaths,assists,denies,xp_per_min,last_hits;-1,216870;0;5;3
kills,deaths,xp_per_min,hero_healing,last_hits;-1,222310;0;5;3
kills,assists,xp_per_min,hero_healing,last_hits;-1,226222;0;5;3
kills,deaths,assists,gold_per_min,last_hits;-1,228178;0;5;3
kills,deaths,assists,gold_per_min,xp_per_min;-1,231372;0;5;3
kills,deaths,assists,gold_per_min,hero_damage,hero_healing;-1,231470;0;6;3
kills,deaths,gold_per_min,hero_damage,hero_healing;-1,232131;0;5;3
kills,deaths,xp_per_min,hero_damage,hero_healing;-1,233538;0;5;3
kills,deaths,assists,hero_damage,hero_healing,last_hits;-1,233639;0;6;3
kills,assists,hero_damage,hero_healing,last_hits;-1,237021;0;5;3
assists,gold_per_min,xp_per_min,hero_healing,last_hits;-1,238254;0;5;3
kills,assists,gold_per_min,xp_per_min,hero_healing;-1,242437;0;5;3
assists,xp_per_min,hero_damage,hero_healing,last_hits;-1,244270;0;5;3
assists,gold_per_min,hero_damage,hero_healing,last_hits;-1,246707;0;5;3
kills,deaths,assists,xp_per_min,hero_damage,hero_healing;-1,247961;0;6;3
kills,deaths,assists,xp_per_min,last_hits;-1,249682;0;5;3
kills,assists,gold_per_min,hero_damage,hero_healing;-1,249903;0;5;3
deaths,assists,gold_per_min,xp_per_min,hero_damage;-1,250058;0;5;3
kills,denies,xp_per_min;-1,254818;0;3;2
deaths,assists,gold_per_min,hero_damage,last_hits;-1,257684;0;5;3
deaths,assists,xp_per_min,hero_damage,last_hits;-1,258237;0;5;3
kills,deaths,hero_damage,hero_healing,last_hits;-1,259118;0;5;3
assists,gold_per_min,xp_per_min,hero_damage,hero_healing;-1,261420;0;5;3
