,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,tower_kills,lane_kills,roshan_kills,necronomicon_kills,courier_kills,observer_kills,sentry_kills,ancient_kills,camps_stacked,gold_spent,pings,roshans_killed,stuns,buyback_count,observer_uses,sentry_uses,lane_efficiency,purchase_tpscroll,actions_per_min
354851289,4.75,9.625,22.5,2.125,306.875,428.25,14267.0,403.75,45.75,0.0,105.0,38.0,140.0,4.400439270000001,4757.0,5.0,61.0,5.0,268.0,0.0,0.0,0.0,17.0,17.0,3.0,8.0,88150.0,506.0,0.0,356.7065413,5.0,68.0,36.0,2.7989141363362156,84.0,1048.0
354959702,13.076923076923077,6.3076923076923075,12.846153846153847,15.307692307692308,567.4615384615385,680.6923076923077,33603.307692307695,326.3076923076923,241.69230769230768,0.0,7.0,110.0,3.0,7.40023595,28843.0,15.0,805.0,15.0,2405.0,2.0,5.0,2.0,5.0,3.0,56.0,4.0,275190.0,1486.0,2.0,591.1840229999999,4.0,7.0,3.0,8.45485622360748,147.0,2336.0
355039561,8.384615384615385,5.6923076923076925,11.76923076923077,18.23076923076923,462.7692307692308,536.4615384615385,19947.0,134.15384615384616,159.07692307692307,5.0,2.0,40.0,1.0,7.31977487,27954.0,13.0,412.0,13.0,1773.0,2.0,0.0,2.0,3.0,2.0,59.0,1.0,166715.0,573.0,2.0,445.24293200000005,5.0,3.0,1.0,9.499095113613514,113.0,2752.0
355124297,6.125,4.6875,10.5625,14.75,443.875,506.5,18430.3125,25.0,179.0,0.0,1.0,117.0,1.0,8.7892911,49941.0,18.0,734.0,18.0,2243.0,5.0,3.0,0.0,8.0,4.0,108.0,8.0,221790.0,271.0,5.0,269.155178,7.0,1.0,1.0,9.035994369595816,129.0,7195.0
355156901,3.3846153846153846,5.6923076923076925,9.0,5.846153846153846,343.2307692307692,365.61538461538464,10093.076923076924,389.84615384615387,83.0,1.0,16.0,93.0,52.0,7.759050179999999,4548.0,4.0,303.0,4.0,667.0,0.0,0.0,2.0,7.0,8.0,4.0,1.0,117005.0,655.0,0.0,527.5290213,6.0,12.0,37.0,5.981097928815604,88.0,1973.0
355168766,3.0,6.846153846153846,12.461538461538462,3.076923076923077,286.7692307692308,431.7692307692308,11942.0,3819.769230769231,72.6923076923077,1.0,10.0,40.0,4.0,7.546048270000001,7128.0,3.0,439.0,3.0,461.0,0.0,0.0,0.0,7.0,2.0,46.0,42.0,113935.0,819.0,0.0,386.35129,7.0,12.0,4.0,5.506736376432737,114.0,1774.0
356088914,6.375,5.875,14.25,9.25,388.5,492.125,16885.125,365.75,146.25,0.0,6.0,39.0,3.0,5.04171902,14021.0,5.0,378.0,5.0,730.0,1.0,0.0,0.0,1.0,3.0,32.0,6.0,92660.0,193.0,1.0,196.8067237,4.0,5.0,2.0,4.313090689724512,82.0,1187.0
356343152,5.233333333333333,4.8,5.966666666666667,15.033333333333333,591.3333333333334,583.4666666666667,16707.6,56.666666666666664,294.76666666666665,1.0,4.0,99.0,0.0,17.27341667,98894.0,53.0,3978.0,53.0,4889.0,3.0,16.0,1.0,16.0,8.0,809.0,41.0,507985.0,7.0,1.0,96.038934,2.0,1.0,0.0,3.6052684496279914,34.0,843.0
356501153,6.583333333333333,4.166666666666667,8.083333333333334,10.083333333333334,486.25,545.25,16544.333333333332,16.083333333333332,193.91666666666666,2.0,2.0,62.0,1.0,6.52860125,31481.0,20.0,701.0,20.0,1585.0,1.0,0.0,0.0,2.0,3.0,156.0,7.0,166580.0,121.0,1.0,167.32521039999997,3.0,2.0,1.0,8.100744017695556,82.0,3649.0
356799031,4.375,8.125,13.25,5.375,325.75,457.875,10148.625,30.0,86.25,0.0,7.0,36.0,0.0,5.02408756,17818.0,4.0,429.0,4.0,276.0,2.0,1.0,0.0,2.0,1.0,124.0,5.0,78955.0,316.0,2.0,190.57876349999998,3.0,8.0,0.0,3.212949929619948,59.0,1860.0
