,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,tower_kills,lane_kills,roshan_kills,necronomicon_kills,courier_kills,observer_kills,sentry_kills,ancient_kills,camps_stacked,gold_spent,pings,roshans_killed,stuns,buyback_count,observer_uses,sentry_uses,lane_efficiency,purchase_tpscroll,actions_per_min
311236557,3.9375,6.4375,12.25,6.8125,406.8125,470.9375,14964.875,1024.6875,150.0,0.0,7.0,132.0,3.0,10.029084850000002,24074.0,11.0,527.0,11.0,1848.0,3.0,4.0,2.0,2.0,4.0,25.0,16.0,207055.0,415.0,3.0,326.0060277,7.0,6.0,3.0,9.14236879147396,169.0,5376.0
312435408,7.333333333333333,4.833333333333333,4.833333333333333,8.333333333333334,569.5833333333334,643.25,14632.833333333334,30.0,233.5,0.0,0.0,93.0,5.0,6.1616629000000005,42251.0,19.0,1097.0,19.0,1655.0,6.0,2.0,0.0,9.0,4.0,217.0,14.0,184975.0,385.0,6.0,128.75629450000002,5.0,0.0,5.0,8.698773376231651,86.0,3319.0
312654300,8.3,5.5,9.6,14.5,544.7,588.3,22991.4,121.4,269.4,0.0,4.0,52.0,1.0,5.42401254,36597.0,18.0,987.0,18.0,1715.0,4.0,1.0,1.0,1.0,2.0,162.0,12.0,166785.0,156.0,4.0,141.06216279999998,6.0,4.0,1.0,7.052282324552585,87.0,3298.0
313211296,6.090909090909091,4.090909090909091,5.909090909090909,22.454545454545453,539.2727272727273,536.6363636363636,15645.181818181818,429.27272727272725,239.63636363636363,2.0,0.0,57.0,0.0,4.95156244,57018.0,31.0,1059.0,31.0,1672.0,4.0,0.0,0.0,2.0,3.0,127.0,10.0,167255.0,703.0,4.0,100.20756550000002,2.0,0.0,0.0,7.6197466318117835,67.0,4978.0
313364447,11.444444444444445,7.888888888888889,12.555555555555555,13.555555555555555,484.1111111111111,580.3333333333334,27164.0,150.66666666666666,169.88888888888889,1.0,0.0,49.0,0.0,5.55248198,13400.0,6.0,334.0,6.0,1228.0,2.0,0.0,1.0,5.0,2.0,22.0,6.0,139930.0,420.0,2.0,343.25117880000005,5.0,0.0,0.0,6.127086265835512,95.0,2617.0
314173010,3.2857142857142856,8.0,10.428571428571429,4.857142857142857,262.57142857142856,394.85714285714283,8957.714285714286,0.0,58.42857142857143,0.0,37.0,18.0,48.0,3.3733717399999996,7056.0,5.0,31.0,5.0,370.0,0.0,0.0,0.0,7.0,5.0,0.0,0.0,56490.0,230.0,0.0,410.08712499999996,3.0,24.0,13.0,2.1039613915141766,67.0,2017.0
314790619,3.3333333333333335,5.5,13.333333333333334,2.0,311.6666666666667,317.1666666666667,9489.5,956.3333333333334,36.0,0.0,26.0,15.0,26.0,4.29696956,2377.0,2.0,28.0,2.0,162.0,0.0,0.0,0.0,9.0,6.0,0.0,4.0,40220.0,117.0,0.0,147.40526400000002,1.0,15.0,10.0,2.102955962195858,40.0,1761.0
315143906,5.333333333333333,4.0,6.0,20.333333333333332,404.6666666666667,449.6666666666667,12221.0,135.0,168.5,1.0,1.0,35.0,0.0,3.2995257899999997,12754.0,7.0,210.0,7.0,874.0,1.0,0.0,0.0,1.0,0.0,36.0,0.0,68080.0,29.0,1.0,30.6193759341515,1.0,1.0,0.0,2.842348682887593,28.0,591.0
315813005,2.6666666666666665,6.888888888888889,11.88888888888889,2.6666666666666665,266.44444444444446,304.55555555555554,9195.0,714.1111111111111,25.555555555555557,1.0,87.0,16.0,70.0,5.2117846,2972.0,2.0,51.0,2.0,164.0,0.0,0.0,0.0,11.0,7.0,1.0,8.0,68600.0,431.0,0.0,59.45173799999999,5.0,57.0,25.0,3.4407802131510152,67.0,1524.0
316017192,4.318181818181818,7.818181818181818,14.681818181818182,2.909090909090909,278.54545454545456,345.77272727272725,11202.181818181818,380.22727272727275,45.5,0.0,23.0,119.0,53.0,13.748260620000002,13508.0,11.0,193.0,11.0,766.0,0.0,2.0,0.0,14.0,5.0,4.0,9.0,186815.0,57.0,0.0,513.809711,4.0,13.0,36.0,5.024130303639655,116.0,1972.0
