,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,n_matches
29904110,58,66,92,70,3680,4441,148041,3416,1351,10
29923238,35,95,222,34,4215,5110,162463,2830,876,14
30237211,623,865,2600,726,63166,73591,2019069,78706,16171,203
31447369,185,255,706,194,17106,18916,561113,48307,4403,50
31456357,24,46,79,7,2687,2901,60145,2307,620,9
31584287,32,59,117,7,2347,3041,88759,9666,274,9
31818853,122,148,322,216,12276,12940,410370,40100,4957,31
32335598,97,90,262,75,7997,8059,296300,27376,3143,19
32454083,85,76,155,157,5476,6166,233320,5115,2866,13
32578330,41,52,71,100,4327,4209,110708,6022,1574,11
32995405,236,245,499,786,19566,21823,708003,46158,9302,41
34127506,15,25,55,34,1613,1921,52112,0,399,5
34322358,163,446,819,112,14580,17582,582244,51656,2212,57
34505203,1569,1551,4236,2792,142623,157848,5298478,350884,54763,337
34547465,256,236,873,248,20111,23049,667594,52593,4725,52
34695693,121,84,120,257,8118,8640,407640,585,3983,16
34726076,304,198,471,462,20916,21692,838429,74672,9091,42
35125459,41,59,179,9,3094,3446,108640,11351,526,10
35334936,62,163,221,56,5267,6200,169228,4765,780,22
35504297,824,2052,3894,1050,77448,99511,2809176,323853,14516,288
35533647,42,38,52,101,3465,3830,127028,320,1782,8
35783338,14,45,44,4,1236,1508,30567,2849,71,5
36327727,126,76,155,233,8478,9386,293043,15639,3386,17
36343070,638,355,772,967,40221,42206,1857126,12645,18701,76
36480589,31,75,132,11,2225,2601,76099,25930,329,8
37399177,139,303,600,114,12063,14903,447701,92602,2119,39
37658157,244,1024,1593,278,38033,42492,902155,226995,6747,155
38057824,719,411,1140,1494,52412,56311,1934389,58309,25492,109
38346266,128,42,129,234,9797,9969,304361,5016,5250,19
38515149,112,125,357,44,9620,11228,245064,38063,1824,32
38628747,929,1330,2874,1311,93792,107777,3575567,277601,38838,244
39043220,121,97,230,161,8387,9441,378960,10842,4716,16
39201171,81,121,183,118,5892,6931,216516,11890,1909,15
39256913,127,220,392,283,12378,14654,480393,17500,4907,34
39600825,44,67,188,14,3129,4070,91167,0,260,11
39749294,79,155,244,91,6786,7971,225083,12438,1175,26
39911415,83,58,115,214,6379,6461,238643,83400,3734,13
