,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,courier_kills,observer_kills,sentry_kills,ancient_kills
339699861,1.5555555555555556,9.333333333333334,17.333333333333332,1.5555555555555556,249.11111111111111,371.55555555555554,8860.222222222223,98.77777777777777,30.88888888888889,1.0,53.0,44.0,135.0,4.14095418,1330.0,1.0,48.0,0.0,12.0,10.0,3.0
339722324,6.833333333333333,7.166666666666667,8.166666666666666,14.083333333333334,524.5833333333334,606.0,18309.833333333332,109.16666666666667,243.5,1.0,14.0,40.0,3.0,5.83145103,30459.0,12.0,892.0,0.0,6.0,8.0,136.0
340077154,4.2,4.6,12.4,1.0,275.6,290.6,6903.0,344.8,55.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
340562312,5.8,5.6,7.6,17.4,440.4,514.0,16019.8,400.0,184.2,0.0,1.0,11.0,3.0,2.58803264,10746.0,3.0,259.0,0.0,3.0,0.0,41.0
340801063,5.666666666666667,5.0,6.333333333333333,11.666666666666666,509.1666666666667,507.8333333333333,10912.833333333334,0.0,147.16666666666666,0.0,0.0,9.0,1.0,2.610962,32850.0,15.0,210.0,0.0,1.0,0.0,42.0
341555596,5.4,8.0,14.6,10.0,319.4,409.6,13373.2,952.6,93.6,1.0,14.0,24.0,9.0,2.49793671,6615.0,4.0,105.0,0.0,0.0,1.0,0.0
341557432,5.181818181818182,3.3636363636363638,9.909090909090908,12.818181818181818,441.3636363636364,471.3636363636364,17619.090909090908,1836.1818181818182,190.54545454545453,1.0,12.0,37.0,2.0,5.7333582,39989.0,19.0,627.0,1.0,9.0,5.0,104.0
341627547,3.857142857142857,7.714285714285714,6.571428571428571,8.857142857142858,331.2857142857143,350.14285714285717,15465.714285714286,877.5714285714286,154.57142857142858,0.0,22.0,47.0,23.0,3.27132504,12840.0,10.0,270.0,0.0,8.0,7.0,29.0
343084576,3.2,4.6,10.0,0.8,268.0,398.6,10599.8,538.2,39.6,0.0,6.0,19.0,4.0,3.38830134,2236.0,1.0,47.0,0.0,5.0,2.0,0.0
343498622,4.333333333333333,2.5555555555555554,10.555555555555555,13.222222222222221,433.6666666666667,503.8888888888889,14315.777777777777,670.3333333333334,175.33333333333334,0.0,12.0,67.0,6.0,5.14180485,15622.0,13.0,485.0,0.0,1.0,0.0,35.0
343797829,9.6,5.0,12.8,11.0,454.2,606.2,22346.4,1035.0,144.0,1.0,11.0,27.0,9.0,3.45495067,4043.0,1.0,159.0,0.0,11.0,5.0,42.0
344501373,6.6923076923076925,4.923076923076923,12.461538461538462,13.23076923076923,467.53846153846155,551.2307692307693,18098.23076923077,98.61538461538461,140.0,4.0,67.0,85.0,74.0,6.86373886,57713.0,13.0,514.0,0.0,17.0,25.0,96.0
344657254,5.0,5.6,9.4,7.2,384.4,429.4,14175.0,31.0,97.8,0.0,8.0,11.0,29.0,2.86652365,1735.0,2.0,77.0,0.0,5.0,11.0,8.0
344782187,9.2,5.2,12.2,5.6,423.4,499.8,22132.2,389.4,91.8,0.0,6.0,30.0,3.0,3.23524712,6302.0,3.0,61.0,0.0,4.0,2.0,0.0
344861218,3.7142857142857144,5.964285714285714,13.821428571428571,4.214285714285714,275.5357142857143,358.0,13608.535714285714,1434.9285714285713,40.57142857142857,2.0,110.0,158.0,109.0,18.693993430000003,10877.0,7.0,108.0,0.0,21.0,17.0,5.0
344928197,2.0,4.4,17.2,1.6,249.4,311.4,10221.6,105.0,21.8,1.0,0.0,10.0,2.0,2.7412639,2572.0,0.0,13.0,0.0,1.0,0.0,0.0
345001363,7.833333333333333,3.5,8.333333333333334,10.333333333333334,612.5,602.5,23128.166666666668,0.0,279.8333333333333,0.0,1.0,29.0,0.0,2.88168601,31143.0,14.0,594.0,0.0,1.0,2.0,170.0
345190601,6.2,3.2,10.6,12.8,504.2,523.2,15178.0,287.8,202.2,0.0,1.0,35.0,0.0,3.12252513,22426.0,15.0,396.0,0.0,0.0,1.0,87.0
345213266,3.1666666666666665,4.833333333333333,11.0,5.166666666666667,393.8333333333333,365.3333333333333,13312.333333333334,0.0,189.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
345751338,11.1,3.6,9.3,15.5,568.6,600.0,26545.8,1049.0,322.5,1.0,0.0,54.0,0.0,5.958055890000001,21313.0,16.0,920.0,0.0,3.0,1.0,97.0
345807473,8.8,5.4,11.0,13.4,504.6,551.0,22864.8,1431.2,170.6,0.0,4.0,17.0,5.0,3.07815972,21890.0,12.0,168.0,0.0,5.0,10.0,50.0
345935123,3.5833333333333335,6.5,9.166666666666666,3.0833333333333335,269.4166666666667,260.4166666666667,6591.083333333333,442.5,48.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
346327663,2.2,9.2,12.2,2.4,253.6,334.2,7868.0,80.0,32.0,0.0,66.0,24.0,68.0,1.8514519299999999,5211.0,2.0,17.0,1.0,15.0,8.0,1.0
346530048,4.222222222222222,3.6666666666666665,5.444444444444445,12.0,421.55555555555554,486.0,13871.888888888889,91.77777777777777,153.33333333333334,0.0,10.0,20.0,0.0,4.127795809999999,7000.0,5.0,240.0,0.0,3.0,1.0,54.0
346715393,4.171428571428572,7.0285714285714285,11.457142857142857,3.4857142857142858,350.25714285714287,408.34285714285716,12975.057142857142,220.8,102.57142857142857,3.0,78.0,218.0,81.0,14.546467430000003,33206.0,13.0,505.0,3.0,18.0,18.0,37.0
346916109,7.666666666666667,4.833333333333333,7.5,13.5,492.6666666666667,501.0,19099.333333333332,0.0,175.66666666666666,0.0,3.0,14.0,0.0,4.45449051,11985.0,4.0,226.0,0.0,2.0,4.0,39.0
347522369,2.0,8.0,11.142857142857142,2.7142857142857144,228.71428571428572,255.0,7188.714285714285,1444.857142857143,20.285714285714285,1.0,80.0,34.0,93.0,4.27330314,1005.0,0.0,7.0,0.0,16.0,21.0,1.0
