,kills,deaths,assists,denies,gold_per_min,xp_per_min,hero_damage,hero_healing,last_hits,firstblood_claimed,obs_placed,rune_pickups,sen_placed,teamfight_participation,tower_damage,towers_killed,neutral_kills,tower_kills,lane_kills,roshan_kills,necronomicon_kills,courier_kills,observer_kills,sentry_kills,ancient_kills,camps_stacked,gold_spent,pings,roshans_killed,stuns,buyback_count,observer_uses,sentry_uses,lane_efficiency,purchase_tpscroll,actions_per_min,Metric_1,Metric_2,Metric_3,Metric_4,Metric_5,Metric_6,Metric_7,Metric_8,Metric_9,Metric_10,KDA
118193010,5.125,5.0,11.125,7.875,498.375,545.625,18169.25,1562.875,236.0,1.0,0.0,40.0,1.0,4.26732466,21012.0,18.0,566.0,18.0,1281.0,1.0,1.0,1.0,7.0,6.0,51.0,4.0,139415.0,593.0,1.0,80.65418199999999,3.0,0.0,1.0,5.186205509752664,82.0,1617.0,360.16779664406715,421.89156216875665,367.96764064718707,361.0050210015305,422.92878252630004,363.5677286454271,28304.333913321734,421.6915661686767,425.49149017019664,359.9678006439871,3.249935001299974
118305301,7.454545454545454,3.636363636363636,12.545454545454545,5.8181818181818175,516.0909090909091,541.7272727272727,15749.181818181818,71.27272727272727,201.72727272727272,0.0,0.0,24.0,0.0,2.07135534,4016.0,5.0,300.0,5.0,584.0,1.0,0.0,0.0,2.0,0.0,24.0,2.0,60965.0,92.0,1.0,203.731612,2.0,0.0,0.0,2.0329780816408607,30.0,604.0,75.07293549427392,168.57036431498136,81.67275399926503,75.6319890927512,169.12941791345864,76.44789768281373,16933.48432918095,168.57036431498136,169.94532650352116,75.07293549427392,5.499848754159261
118601438,7.333333333333332,6.9523809523809526,12.142857142857142,17.285714285714285,436.19047619047615,507.9523809523809,18515.666666666668,215.14285714285717,165.33333333333334,2.0,10.0,198.0,1.0,9.77198526,39660.0,25.0,577.0,25.0,2748.0,1.0,0.0,2.0,8.0,2.0,27.0,13.0,279500.0,530.0,1.0,700.8782722000002,12.0,11.0,1.0,11.658556203498895,170.0,2785.0,55.15674089619259,104.14918689525699,83.34811622572552,56.54596529963253,105.82607839389622,58.46491249098472,40305.62574099961,105.58752237125356,107.74502558524843,56.30740927698985,2.801329569917145
118718664,6.2,4.6,9.6,9.6,550.6,525.4,21639.0,0.0,313.2,1.0,0.0,18.0,0.0,2.44726519,18845.0,12.0,516.0,12.0,893.0,4.0,0.0,1.0,1.0,1.0,81.0,6.0,83305.0,240.0,4.0,67.09561500000001,1.0,0.0,0.0,2.4090086466921377,39.0,595.0,68.30286298123954,114.21490837155714,71.99843481663443,68.60916255009504,114.73859451896527,70.6941153453186,18223.603834699246,114.21490837155714,116.82354731418883,68.08547640268691,3.434707941131715
118840822,3.4615384615384617,4.9230769230769225,9.0,1.2307692307692308,314.46153846153845,323.61538461538464,7526.076923076923,236.15384615384616,65.69230769230771,2.0,40.0,10.0,17.0,2.20987397,6180.0,5.0,31.0,5.0,80.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,27270.0,73.0,0.0,137.231809,1.0,35.0,7.0,1.7687512567866484,34.0,561.0,62.733100733891355,115.12266157093687,64.76430947496381,63.09237103524815,115.48193187229367,63.74870510442758,5654.2288984755005,120.81004604593973,116.1382659414731,68.4204852088942,2.531198585028742
118983709,6.083333333333332,6.75,16.083333333333332,5.583333333333332,358.5,421.75,18335.0,122.91666666666669,119.91666666666669,3.0,6.0,108.0,8.0,7.565474959999999,9161.0,8.0,413.0,8.0,1012.0,0.0,0.0,0.0,4.0,7.0,31.0,16.0,173720.0,1270.0,0.0,729.2627010000001,4.0,5.0,7.0,5.581339231852,169.0,2608.0,37.01179735608856,81.72718428862784,53.01156032256313,37.838650177802606,82.55403711034188,38.19696498323482,25817.64220776976,81.43089238184128,82.9123519157741,36.71550544930199,3.283901966884441
119099717,3.1666666666666665,6.833333333333332,13.5,2.0,400.33333333333326,432.0,12042.166666666664,586.6666666666666,135.5,0.0,6.0,47.0,0.0,3.60773863,4362.0,1.0,216.0,1.0,568.0,0.0,0.0,0.0,0.0,0.0,6.0,10.0,75805.0,129.0,0.0,74.84499100000002,5.0,6.0,0.0,2.6183390307661374,36.0,864.0,105.68138027248384,149.07098920503606,112.55932840007222,106.0645462306551,149.4541551632073,105.82771959434741,11242.323283073909,149.94902513621753,149.21732852689962,106.55941620366534,2.4389886977263755
119321696,5.625,4.125,7.75,7.3125,423.75,479.75,13235.4375,94.9375,139.8125,2.0,7.0,104.0,4.0,9.489659,27375.0,13.0,442.0,13.0,1759.0,3.0,5.0,0.0,5.0,6.0,19.0,13.0,189760.0,342.0,3.0,194.2018017,2.0,6.0,3.0,9.362557812185802,122.0,4177.0,57.63496642505636,140.04205958643428,82.84647644905579,59.90462238786595,142.31171554924384,60.78640517805629,46141.35111876076,140.7693146832804,143.1934983394342,59.5743133499794,3.2423456401056945
119506046,8.5,8.0,14.833333333333336,10.5,502.33333333333326,589.0,24129.5,1109.5,309.0,0.0,0.0,53.0,0.0,3.16037079,24676.0,4.0,681.0,4.0,1098.0,4.0,0.0,0.0,5.0,17.0,119.0,6.0,129430.0,283.0,4.0,34.3667605,4.0,0.0,0.0,3.3072591996782625,60.0,960.0,177.31028362145474,212.30984612692342,183.93520080998988,177.72368585388662,212.7232483593553,177.81027737153286,16390.857614279823,212.30984612692342,212.80983987700154,177.31028362145474,2.916630208789057
119515493,3.8,4.2,13.2,10.0,412.2,433.2,10928.8,1506.4,150.6,0.0,4.0,29.0,0.0,1.89752062,6988.0,4.0,152.0,4.0,487.0,1.0,2.0,0.0,5.0,0.0,12.0,0.0,62670.0,357.0,1.0,126.29038599999998,1.0,4.0,0.0,2.614518399356525,19.0,1801.0,394.5144163234209,461.7985286064618,401.419013833004,395.1369058830401,462.42101816608096,395.46677460060477,15382.871836384847,462.75088688364565,462.75088688364565,395.9429537391967,4.047522678031475
