k;seed;metric;min_size;max_size;outliers;threshold;elite_size
10;-1;variance;3;9;0;0.750000;10
All solutions found
Solution;Evaluation;Feasible;Num. of Attr.;Restrictions Violated
assists,denies,hd,kills,xpm;-1.908305;0;5;6
deaths,denies,hd,kills,xpm;-1.908329;0;5;6
assists,gpm,hd,hh,xpm;-1.908349;0;5;6
deaths,gpm,hd,hh,xpm;-1.908373;0;5;6
denies,gpm,hd,xpm;-1.908449;0;4;6
assists,deaths,denies,kills,lh,xpm;-1.908546;0;6;6
assists,deaths,gpm,hh,lh,xpm;-1.908583;0;6;6
assists,gpm,hh,kills,xpm;-1.908654;0;5;6
deaths,gpm,hh,kills,xpm;-1.908678;0;5;6
denies,gpm,kills,xpm;-1.908831;0;4;6
assists,deaths,denies,hd,kills,xpm;-1.909152;0;6;6
assists,deaths,gpm,hd,hh,xpm;-1.909188;0;6;6
assists,gpm,hd,lh;-1.909361;0;4;6
deaths,gpm,hd,lh;-1.909391;0;4;6
assists,denies,gpm,hd,xpm;-1.909413;0;5;6
deaths,denies,gpm,hd,xpm;-1.909437;0;5;6
assists,deaths,gpm,hh,kills,xpm;-1.909443;0;6;6
assists,denies,gpm,kills,xpm;-1.909718;0;5;6
deaths,denies,gpm,kills,xpm;-1.909742;0;5;6
gpm,hd,kills;-1.909779;0;3;6
assists,deaths,denies,gpm,hd,xpm;-1.910075;0;6;6
hd,lh,xpm;-1.910108;0;3;6
assists,deaths,gpm,hd,lh;-1.910166;0;5;6
assists,deaths,denies,gpm,kills,xpm;-1.910330;0;6;6
assists,gpm,hd,kills;-1.910651;0;4;6
deaths,gpm,hd,kills;-1.910681;0;4;6
assists,hd,lh,xpm;-1.910897;0;4;6
deaths,hd,lh,xpm;-1.910928;0;4;6
assists,deaths,gpm,hd,kills;-1.911198;0;5;6
assists,deaths,hd,lh,xpm;-1.911395;0;5;6
hd,kills,xpm;-1.911829;0;3;6
assists,hd,kills,xpm;-1.912188;0;4;6
deaths,hd,kills,xpm;-1.912218;0;4;6
assists,deaths,hd,kills,xpm;-1.912428;0;5;6
gpm,lh,xpm;-1.912463;0;3;6
assists,gpm,lh,xpm;-1.912664;0;4;6
deaths,gpm,lh,xpm;-1.912694;0;4;6
assists,deaths,gpm,lh,xpm;-1.912808;0;5;6
assists,deaths,gpm,hd,xpm;-1.913536;0;5;6
assists,gpm,hd,xpm;-1.913573;0;4;6
deaths,gpm,hd,xpm;-1.913603;0;4;6
gpm,hd,xpm;-1.913675;0;3;6
assists,deaths,gpm,kills,xpm;-1.913841;0;5;6
assists,gpm,kills,xpm;-1.913955;0;4;6
deaths,gpm,kills,xpm;-1.913985;0;4;6
gpm,kills,xpm;-1.914184;0;3;6
denies,gpm,hd,hh,lh;-2.152195;0;5;8
denies,hd,hh,lh,xpm;-2.153424;0;5;8
assists,denies,gpm,hd,hh,lh;-2.154259;0;6;8
deaths,denies,gpm,hd,hh,lh;-2.154279;0;6;8
denies,gpm,hh,lh,xpm;-2.154838;0;5;8
assists,denies,hd,hh,lh,xpm;-2.155284;0;6;8
deaths,denies,hd,hh,lh,xpm;-2.155304;0;6;8
denies,gpm,hd,lh;-2.155552;0;4;8
assists,deaths,denies,gpm,hd,hh,lh;-2.155751;0;7;8
assists,denies,gpm,hh,lh,xpm;-2.156461;0;6;8
deaths,denies,gpm,hh,lh,xpm;-2.156481;0;6;8
assists,deaths,denies,hd,hh,lh,xpm;-2.156629;0;7;8
denies,hd,lh,xpm;-2.157089;0;4;8
assists,denies,gpm,hd,lh;-2.157357;0;5;8
deaths,denies,gpm,hd,lh;-2.157381;0;5;8
assists,deaths,denies,gpm,hh,lh,xpm;-2.157638;0;7;8
assists,deaths,denies,gpm,hd,lh;-2.158581;0;6;8
assists,denies,hd,lh,xpm;-2.158587;0;5;8
deaths,denies,hd,lh,xpm;-2.158611;0;5;8
denies,gpm,lh,xpm;-2.158855;0;4;8
assists,deaths,denies,hd,lh,xpm;-2.159606;0;6;8
assists,denies,gpm,lh,xpm;-2.160000;0;5;8
deaths,denies,gpm,lh,xpm;-2.160024;0;5;8
assists,deaths,denies,gpm,lh,xpm;-2.160784;0;6;8
gpm,hd,hh,kills,lh;-2.355999;0;5;10
hd,hh,kills,lh,xpm;-2.357229;0;5;10
assists,gpm,hd,hh,kills,lh;-2.357541;0;6;10
deaths,gpm,hd,hh,kills,lh;-2.357561;0;6;10
assists,hd,hh,kills,lh,xpm;-2.358566;0;6;10
deaths,hd,hh,kills,lh,xpm;-2.358586;0;6;10
gpm,hh,kills,lh,xpm;-2.358642;0;5;10
assists,deaths,gpm,hd,hh,kills,lh;-2.358660;0;7;10
assists,deaths,hd,hh,kills,lh,xpm;-2.359538;0;7;10
assists,gpm,hh,kills,lh,xpm;-2.359744;0;6;10
deaths,gpm,hh,kills,lh,xpm;-2.359764;0;6;10
gpm,hd,kills,lh;-2.360140;0;4;10
assists,deaths,gpm,hh,kills,lh,xpm;-2.360548;0;7;10
assists,gpm,hd,kills,lh;-2.361162;0;5;10
deaths,gpm,hd,kills,lh;-2.361186;0;5;10
hd,kills,lh,xpm;-2.361677;0;4;10
assists,deaths,gpm,hd,kills,lh;-2.361864;0;6;10
assists,hd,kills,lh,xpm;-2.362392;0;5;10
deaths,hd,kills,lh,xpm;-2.362416;0;5;10
assists,deaths,hd,kills,lh,xpm;-2.362888;0;6;10
gpm,kills,lh,xpm;-2.363443;0;4;10
assists,gpm,kills,lh,xpm;-2.363805;0;5;10
deaths,gpm,kills,lh,xpm;-2.363829;0;5;10
assists,deaths,gpm,kills,lh,xpm;-2.364066;0;6;10
denies,gpm,hd,hh,kills,lh;-2.521180;0;6;12
denies,hd,hh,kills,lh,xpm;-2.522205;0;6;12
assists,denies,gpm,hd,hh,kills,lh;-2.522769;0;7;12
deaths,denies,gpm,hd,hh,kills,lh;-2.522786;0;7;12
denies,gpm,hh,kills,lh,xpm;-2.523382;0;6;12
assists,denies,hd,hh,kills,lh,xpm;-2.523647;0;7;12
deaths,denies,hd,hh,kills,lh,xpm;-2.523665;0;7;12
assists,deaths,denies,gpm,hd,hh,kills,lh;-2.523976;0;8;12
denies,gpm,hd,hh,kills,xpm;-2.523988;0;6;12
denies,gpm,hd,kills,lh;-2.524117;0;5;12
assists,denies,gpm,hh,kills,lh,xpm;-2.524657;0;7;12
deaths,denies,gpm,hh,kills,lh,xpm;-2.524674;0;7;12
assists,deaths,denies,hd,hh,kills,lh,xpm;-2.524745;0;8;12
assists,denies,gpm,hd,hh,kills,xpm;-2.525176;0;7;12
deaths,denies,gpm,hd,hh,kills,xpm;-2.525193;0;7;12
denies,hd,kills,lh,xpm;-2.525347;0;5;12
gpm,hd,hh,lh,xpm;-2.525391;0;5;12
assists,denies,gpm,hd,kills,lh;-2.525482;0;6;12
